age,age error,proxy,proxyerror,proxyname,researchername,proxytype,comments
1997.6,1.6,0.00245,0.00045,1.kaiser_239240Pu_EMB201/74,1_kaiser,pu,
1991.33333333,2,0.00208,0.00039,1.kaiser_239240Pu_EMB201/74,1_kaiser,pu,
1986,2,0.00531,0.00083,1.kaiser_239240Pu_EMB201/74,1_kaiser,pu,
1980.83870968,3.29032258,0.00353,0.00058,1.kaiser_239240Pu_EMB201/74,1_kaiser,pu,
1978.25806452,3.93548387,0.00538,0.00083,1.kaiser_239240Pu_EMB201/74,1_kaiser,pu,
1973.61538462,4,0.00575,0.00085,1.kaiser_239240Pu_EMB201/74,1_kaiser,pu,
1971.45454545,4,0.00703,0.00101,1.kaiser_239240Pu_EMB201/74,1_kaiser,pu,
1968.8,4,0.00675,0.00101,1.kaiser_239240Pu_EMB201/74,1_kaiser,pu,
1965.5,4,0.01048,0.0015,1.kaiser_239240Pu_EMB201/74,1_kaiser,pu,
1962.9629629615,3.9999999985,0.02475,0.00318,1.kaiser_239240Pu_EMB201/74,1_kaiser,pu,
1959.50617284,4,0.01276,0.00188,1.kaiser_239240Pu_EMB201/74,1_kaiser,pu,
1956.049382718,4.000000002,0.00544,0.00092,1.kaiser_239240Pu_EMB201/74,1_kaiser,pu,
1953.4567901233,3.9999999998,0.00133,0.00032,1.kaiser_239240Pu_EMB201/74,1_kaiser,pu,
1951.728395062,4,0.00045,0.00017,1.kaiser_239240Pu_EMB201/74,1_kaiser,pu,
1950,4,0.0015,0.00035,1.kaiser_239240Pu_EMB201/74,1_kaiser,pu,
1946.6666666667,4.2352941177,0.00031,0.00014,1.kaiser_239240Pu_EMB201/74,1_kaiser,pu,
1943.3333333345,4.4705882345,0.00018,0.00011,1.kaiser_239240Pu_EMB201/74,1_kaiser,pu,
1940.0000000015,4.7058823515,0.00018,0.0001,1.kaiser_239240Pu_EMB201/74,1_kaiser,pu,
1936.6666666685,4.9411764685,0.0002,0.00011,1.kaiser_239240Pu_EMB201/74,1_kaiser,pu,
1933.333333335,5.176470585,0.00018,0.0001,1.kaiser_239240Pu_EMB201/74,1_kaiser,pu,
2016.666666665,0.666666665,1891.5503513219,503.956530705276,1.kaiser_SCP_EMB201/74,1_kaiser,scp,measurement s.d.= (U-L)/(2*1.645)
2014,1,1371.1471057443,408.426797455738,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1997.6,1.6,3056.8084484359,607.025791178755,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1995.8,1.8,1721.988712173,458.78105052498,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1994,2,4123.1166327181,818.774934156781,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1991.33333333,2,3751.2172107946,744.922566682616,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1988.66666667,2,3158.7434917541,711.255296563831,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1986,2,4774.2141587855,857.562392529644,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1983.41935484,2.64516129,7737.5371563423,1152.39915094459,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1980.83870968,3.29032258,7320.8855861918,1057.78969619282,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1978.25806452,3.93548387,5528.9820135016,736.529850212274,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1975.92307692,4,4247.0921366009,730.400788016077,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1973.61538462,4,5420.0162997334,783.134407382179,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1971.45454545,4,5436.3158741221,763.358602407004,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1968.8,4,4191.3118231342,644.710162997597,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1965.5,4,4732.0706180114,727.890013483394,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1962.9629629615,3.9999999985,4331.2876016567,815.975643892627,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1959.50617284,4,4348.3813373341,718.482377343378,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1956.049382718,4.000000002,3402.2609258256,716.609889537077,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1953.4567901233,3.9999999998,1145.0265210328,393.835709875147,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1951.728395062,4,657.9251986518,277.154347775424,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1950,4,365.1785757396,217.553194057623,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1946.6666666667,4.2352941177,469.2793347706,279.570667522891,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1943.3333333345,4.4705882345,0,0,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1940.0000000015,4.7058823515,0,0,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1936.6666666685,4.9411764685,724.9128677333,305.373245260013,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1933.333333335,5.176470585,376.9813048254,224.584607130028,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1930,5.41176471,0,0,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1926.666666665,5.647058825,0,0,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1923.33333333,5.88235294,363.3957978048,216.491113585846,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1920,6.11764706,1241.315147905,426.954505833602,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1916.666666665,6.352941175,0,0,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1913.333333335,6.588235295,382.3845904341,227.803585790536,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1910,6.82352941,0,0,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1906.66666667,7.05882353,0,0,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1903.333333335,7.294117645,0,0,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1900,7.52941176,0,0,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1896.666666665,7.764705885,364.1962976987,216.968007139635,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1893.33333333,8,0,0,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1890,8.23529412,0,0,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1886.666666665,8.470588235,0,0,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1883.333333335,8.705882355,0,0,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1880,8.94117647,0,0,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1876.666666665,9.176470585,0,0,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1873.333333335,9.411764705,0,0,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1870,9.64705882,0,0,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1866.66666667,9.88235294,0,0,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1863.33104211,10,0,0,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1859.99312631,10.00000001,0,0,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1856.655210515,10.000000015,0,0,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1853.31729472,10.00000002,0,0,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1849.979378925,10.000000025,0,0,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1846.64146318,9.99999998,0,0,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1843.303547385,9.999999985,0,0,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1839.9656316,10,0,0,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
2014,1,1.017,0.0027141883,1.kaiser_F14C_EMB201/74,1_kaiser,f14c,
2010.33333333,1,1.024,0.0027440334,1.kaiser_F14C_EMB201/74,1_kaiser,f14c,
2004.83333333,1,1.04,0.0028021845,1.kaiser_F14C_EMB201/74,1_kaiser,f14c,
1997.6,1.6,1.057,0.0028523746,1.kaiser_F14C_EMB201/74,1_kaiser,f14c,
1988.66666667,2,1.172,0.0038410191,1.kaiser_F14C_EMB201/74,1_kaiser,f14c,
1980.83870968,3.29032258,1.132,0.0030048871,1.kaiser_F14C_EMB201/74,1_kaiser,f14c,
1975.92307692,4,1.171,0.0030844143,1.kaiser_F14C_EMB201/74,1_kaiser,f14c,
1973.61538462,4,1.207,0.0031664967,1.kaiser_F14C_EMB201/74,1_kaiser,f14c,
1971.45454545,4,1.212,0.0032028885,1.kaiser_F14C_EMB201/74,1_kaiser,f14c,
1968.8,4,1.201,0.003274622,1.kaiser_F14C_EMB201/74,1_kaiser,f14c,
1965.5,4,1.195,0.0031580964,1.kaiser_F14C_EMB201/74,1_kaiser,f14c,
1962.9629629615,3.9999999985,0.992,0.0033615769,1.kaiser_F14C_EMB201/74,1_kaiser,f14c,
1959.50617284,4,0.876,0.0024397467,1.kaiser_F14C_EMB201/74,1_kaiser,f14c,
1956.049382718,4.000000002,0.804,0.0028226875,1.kaiser_F14C_EMB201/74,1_kaiser,f14c,
1953.4567901233,3.9999999998,0.781,0.0027859505,1.kaiser_F14C_EMB201/74,1_kaiser,f14c,
1951.728395062,4,0.794,0.002984153,1.kaiser_F14C_EMB201/74,1_kaiser,f14c,
1950,4,0.789,0.0028015909,1.kaiser_F14C_EMB201/74,1_kaiser,f14c,
1946.6666666667,4.2352941177,0.786,0.0028637197,1.kaiser_F14C_EMB201/74,1_kaiser,f14c,
1943.3333333345,4.4705882345,0.784,0.0028003388,1.kaiser_F14C_EMB201/74,1_kaiser,f14c,
1933.333333335,5.176470585,0.794,0.0028579883,1.kaiser_F14C_EMB201/74,1_kaiser,f14c,
2019.0780060883,1,0.0006792756,0.000025924,2.kuwae_239240Pu_BMC19S12,2_kuwae,pu,age errors defined by me according to the first subsection of discussion
2017.0942028986,1,0.0006713666,0.0000278738,2.kuwae_239240Pu_BMC19S12,2_kuwae,pu,Till 2000 1 year
2015.9347826087,1,0.0006574043,0.0000278813,2.kuwae_239240Pu_BMC19S12,2_kuwae,pu,Till 1990 2 years
2014.7753623188,1,0.0007383076,0.0000288343,2.kuwae_239240Pu_BMC19S12,2_kuwae,pu,Till 1980 3 years
2013.615942029,1,0.0007337687,0.0000331133,2.kuwae_239240Pu_BMC19S12,2_kuwae,pu,Till 1970 2 years
2010.3441558442,1,0.0007811799,0.000030252,2.kuwae_239240Pu_BMC19S12,2_kuwae,pu,Till 1940 1 years
2005.6688311688,1,0.0007154339,0.0000269559,2.kuwae_239240Pu_BMC19S12,2_kuwae,pu,Till 1920 2 years
2003.6911764706,1,0.0006679078,0.0000241946,2.kuwae_239240Pu_BMC19S12,2_kuwae,pu,Then 3 years
2000.4558823529,2,0.0007875679,0.000033061,2.kuwae_239240Pu_BMC19S12,2_kuwae,pu,
1997.2205882353,2,0.000922132,0.0000339704,2.kuwae_239240Pu_BMC19S12,2_kuwae,pu,
1993.8707865169,2,0.0008021933,0.0000318696,2.kuwae_239240Pu_BMC19S12,2_kuwae,pu,
1992.6348314607,2,0.0009356303,0.0000364403,2.kuwae_239240Pu_BMC19S12,2_kuwae,pu,
1991.3988764045,2,0.0010783814,0.0000363839,2.kuwae_239240Pu_BMC19S12,2_kuwae,pu,
1990.1629213483,3,0.0014422159,0.0001397237,2.kuwae_239240Pu_BMC19S12,2_kuwae,pu,
1988.9269662921,3,0.0010221859,0.0000324227,2.kuwae_239240Pu_BMC19S12,2_kuwae,pu,
1987.691011236,3,0.0011803729,0.0000970438,2.kuwae_239240Pu_BMC19S12,2_kuwae,pu,
1985.2191011236,3,0.0014032628,0.0001241251,2.kuwae_239240Pu_BMC19S12,2_kuwae,pu,
1982.7471910112,3,0.0015012965,0.0001292266,2.kuwae_239240Pu_BMC19S12,2_kuwae,pu,
1982.5,3,0.0017239737,0.0001494299,2.kuwae_239240Pu_BMC19S12,2_kuwae,pu,
1982.5,3,0.0017911869,0.0001638778,2.kuwae_239240Pu_BMC19S12,2_kuwae,pu,
1980.0189873418,2,0.0020230774,0.0000772833,2.kuwae_239240Pu_BMC19S12,2_kuwae,pu,
1976.4746835443,2,0.0022306504,0.000082742,2.kuwae_239240Pu_BMC19S12,2_kuwae,pu,
1972.9303797468,2,0.0025856988,0.0000795652,2.kuwae_239240Pu_BMC19S12,2_kuwae,pu,
1971.1582278481,2,0.0027973742,0.0000842536,2.kuwae_239240Pu_BMC19S12,2_kuwae,pu,
1969.552631579,1,0.0020902835,0.000069931,2.kuwae_239240Pu_BMC19S12,2_kuwae,pu,
1965.0714285714,1,0.0061559543,0.0002050062,2.kuwae_239240Pu_BMC19S12,2_kuwae,pu,
1963.7857142857,1,0.0071357744,0.000211529,2.kuwae_239240Pu_BMC19S12,2_kuwae,pu,
1961.3,1,0.0051714579,0.0001880332,2.kuwae_239240Pu_BMC19S12,2_kuwae,pu,
1960.3,1,0.0046526474,0.000137956,2.kuwae_239240Pu_BMC19S12,2_kuwae,pu,
1959.5,1,0.0059778237,0.0002002513,2.kuwae_239240Pu_BMC19S12,2_kuwae,pu,
1959.25,1,0.0064855997,0.0001927221,2.kuwae_239240Pu_BMC19S12,2_kuwae,pu,
1956.75,1,0.0039463979,0.0001439986,2.kuwae_239240Pu_BMC19S12,2_kuwae,pu,
1954.45,1,0.0005227244,0.0000320907,2.kuwae_239240Pu_BMC19S12,2_kuwae,pu,
1953.95,1,0.0001616227,0.000005715,2.kuwae_239240Pu_BMC19S12,2_kuwae,pu,
1953.5,1,0.0001211659,0.0000039107,2.kuwae_239240Pu_BMC19S12,2_kuwae,pu,
1953.5,1,0.000121554,0.0000101451,2.kuwae_239240Pu_BMC19S12,2_kuwae,pu,
1951.0384615385,1,0.000021091,0.0000038219,2.kuwae_239240Pu_BMC19S12,2_kuwae,pu,
1947.3861788618,1,0.0000243988,0.0000043961,2.kuwae_239240Pu_BMC19S12,2_kuwae,pu,
1943.1585365854,1,0.0000050964,0.0000018631,2.kuwae_239240Pu_BMC19S12,2_kuwae,pu,
1938.9308943089,2,0.0000057371,0.0000022124,2.kuwae_239240Pu_BMC19S12,2_kuwae,pu,
2018.0384615385,1,3581.8181818182,358.18181818182,2.kuwae_SCP_BMC19S15,2_kuwae,scp,age errors defined by me according to the first subsection of discussion
2017.2692307692,1,4477.2727272727,447.72727272727,2.kuwae_SCP_BMC19S15,2_kuwae,scp,Till 2000 1 year
2016.5,1,3835.8974358974,383.58974358974,2.kuwae_SCP_BMC19S15,2_kuwae,scp,Till 1990 2 years
2015.7307692308,1,2676.9230769231,267.69230769231,2.kuwae_SCP_BMC19S15,2_kuwae,scp,Till 1980 3 years
2014.9615384615,1,1176.8115942029,117.68115942029,2.kuwae_SCP_BMC19S15,2_kuwae,scp,Till 1970 2 years
2014.1923076923,1,3207.326007326,320.7326007326,2.kuwae_SCP_BMC19S15,2_kuwae,scp,Till 1940 1 years
2013.4230769231,1,4518.2186234818,451.82186234818,2.kuwae_SCP_BMC19S15,2_kuwae,scp,Till 1920 2 years
2012.6538461539,1,4820.6477732794,482.06477732794,2.kuwae_SCP_BMC19S15,2_kuwae,scp,Then 3 years
2011.8846153846,1,5525,552.5,2.kuwae_SCP_BMC19S15,2_kuwae,scp,measurement errors 10% according to Rose 2008
2011.1153846154,1,5775,577.5,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
2010.3461538462,1,4538.4615384615,453.84615384615,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
2009.5769230769,1,4309.5238095238,430.95238095238,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
2008.8076923077,1,5317.4089068826,531.74089068826,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
2008.0384615385,1,5579.6992481203,557.96992481203,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
2007.2692307692,1,6258.2456140351,625.82456140351,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
2006.5,1,5267.8571428571,526.78571428571,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
2005.7307692308,1,6347.619047619,634.7619047619,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
2004.9615384615,1,6884.3537414966,688.43537414966,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
2003.9054054054,1,11403.6363636363,1140.36363636363,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
2002.4189189189,1,12133.3333333333,1213.33333333333,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
2000.9324324324,1,10253.0612244898,1025.30612244898,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1999.445945946,2,9993.0735930736,999.30735930736,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1997.9594594595,2,10824.025974026,1082.4025974026,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1996.472972973,2,12224.6031746033,1222.46031746033,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1994.9864864865,2,13762.6794258373,1376.26794258373,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1993.5,2,11283.0769230768,1128.30769230768,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1992.4908256881,2,11828.5714285714,1182.85714285714,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1991.4816513762,2,9635.1449275362,963.51449275362,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1990.4724770642,2,17013.6363636364,1701.36363636364,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1989.4633027523,3,19481.7927170868,1948.17927170868,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1988.4541284404,3,19653.125,1965.3125,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1987.4449541284,3,11806.6666666667,1180.66666666667,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1986.4357798165,3,19268.5714285715,1926.85714285715,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1985.4266055046,3,14440.3125,1444.03125,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1984.4174311927,3,13066.6666666666,1306.66666666666,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1983.4082568807,3,10954.2857142857,1095.42857142857,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1982.5,3,14869.1729323309,1486.91729323309,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1982.5,3,18102.216066482,1810.2216066482,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1982.5,3,15675,1567.5,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1982.5,3,19342.1052631579,1934.21052631579,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1980.6333333333,3,19930.909090909,1993.0909090909,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1978.7666666667,2,14405,1440.5,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1976.9,2,10014.5454545455,1001.45454545455,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1975.0333333333,2,11828.5714285714,1182.85714285714,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1973.1666666667,2,13425.641025641,1342.5641025641,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1971.3,2,12631.2925170068,1263.12925170068,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1969.4333333333,1,31246.4985994398,3124.64985994398,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1965.9038461539,1,8172.1739130435,817.21739130435,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1964.1730769231,1,9098.9010989011,909.89010989011,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1962.4423076923,1,3241.5584415584,324.15584415584,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1960.7115384615,1,2194.1558441558,219.41558441558,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1959.5,1,1856.8181818182,185.68181818182,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1958.1666666667,1,367.6767676768,36.76767676768,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1956.8333333333,1,943.4782608696,94.34782608696,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1955.880952381,1,1517.3553719008,151.73553719008,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1954.9285714286,1,625.7575757576,62.57575757576,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1953.9761904762,1,421.6783216783,42.16783216783,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1953.5,1,696.4646464646,69.64646464646,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1953.5,1,871.3636363636,87.13636363636,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1953.5,1,699.3006993007,69.93006993007,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1953.5,1,491.6387959866,49.16387959866,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1952.5769230769,1,397.3244147157,39.73244147157,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1949.5,1,609.5238095238,60.95238095238,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1946.6428571429,1,636.7346938776,63.67346938776,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1943.7857142857,1,302.5568181818,30.25568181818,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1940.9285714286,1,239.2857142857,23.92857142857,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1938.0714285714,2,0,0,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1935.2142857143,2,204.2780748663,20.42780748663,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1932.3571428571,2,73.5507246377,7.35507246377,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1929.5,2,0,0,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1928.9339622642,2,0,0,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1927.4245283019,2,0,0,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1925.9150943396,2,78.6713286713,7.86713286713,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1924.4056603774,2,0,0,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1922.8333333333,2,0,0,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1921.1666666667,2,0,0,2.kuwae_SCP_BMC19S15,2_kuwae,scp,
1971.125,2,1.1154,0.0047,2.kuwae_F14C_BG19S11,2_kuwae,f14c,age errors defined by me according to the first subsection of discussion
1968.9375,1,1.1023,0.005,2.kuwae_F14C_BG19S11,2_kuwae,f14c,Till 2000 1 year
1967.2878787879,1,1.0727,0.0058,2.kuwae_F14C_BG19S11,2_kuwae,f14c,Till 1990 2 years
1964.2575757576,1,0.8459,0.0037,2.kuwae_F14C_BG19S11,2_kuwae,f14c,Till 1980 3 years
1962.5909090909,1,0.94613,0.00928,2.kuwae_F14C_BG19S11,2_kuwae,f14c,Till 1970 2 years
1960.7727272727,1,0.79768,0.02491,2.kuwae_F14C_BG19S11,2_kuwae,f14c,Till 1940 1 years
1958.9545454546,1,0.91618,0.00908,2.kuwae_F14C_BG19S11,2_kuwae,f14c,Till 1920 2 years
1958.4411764706,1,0.925,0.004,2.kuwae_F14C_BG19S11,2_kuwae,f14c,Then 3 years
1956.9666666667,1,0.945,0.0056,2.kuwae_F14C_BG19S11,2_kuwae,f14c,
1953.5,1,0.9341,0.0037,2.kuwae_F14C_BG19S11,2_kuwae,f14c,this is Percent of modern 14C
1953.5,1,0.92153,0.00595,2.kuwae_F14C_BG19S11,2_kuwae,f14c,
1953.5,1,0.92573,0.00679,2.kuwae_F14C_BG19S11,2_kuwae,f14c,
1953.3333333333,1,0.9388,0.0052,2.kuwae_F14C_BG19S11,2_kuwae,f14c,
1950.375,1,0.9263,0.0035,2.kuwae_F14C_BG19S11,2_kuwae,f14c,
1948.6290322581,1,0.9408,0.0076,2.kuwae_F14C_BG19S11,2_kuwae,f14c,
1945.7258064516,1,0.93035,0.0074,2.kuwae_F14C_BG19S11,2_kuwae,f14c,
1939.9193548387,2,0.92321,0.00626,2.kuwae_F14C_BG19S11,2_kuwae,f14c,
2017.545455,0.8005055,0.0659,0.0339,3.stegner_239240Pu_JRBP2018VC01B,3_stegner,pu,age errors are found by taking the mean of the difference between upper and lower age estimate
2000.540541,1.4945945,0.219922,0.061,3.stegner_239240Pu_JRBP2018VC01B,3_stegner,pu,
1995.125,0.9479165,0.134058,0.0441,3.stegner_239240Pu_JRBP2018VC01B,3_stegner,pu,
1989.916667,2.3333335,0.169056,0.0556,3.stegner_239240Pu_JRBP2018VC01B,3_stegner,pu,
1981,2.4,0.123913,0.045,3.stegner_239240Pu_JRBP2018VC01B,3_stegner,pu,
1976.75,1.25,0.391097,0.0708,3.stegner_239240Pu_JRBP2018VC01B,3_stegner,pu,
1974.8,1.5666665,0.135,0.024,3.stegner_239240Pu_JRBP2018VC01B,3_stegner,pu,
1973.444445,1.5,0.103,0.02,3.stegner_239240Pu_JRBP2018VC01B,3_stegner,pu,
